;onset_sec;note;velocity;offset;duration;freq;boundary;changable_notes
16;0.25;60.0;80.0;0.48541666666666666;0.23541666666666666;261.6255653005986;0;0
18;0.5;62.0;80.0;0.7354166666666666;0.2354166666666666;293.66476791740763;0;0
20;0.7499999999999999;64.0;80.0;0.9854166666666666;0.23541666666666672;329.62755691286986;0;0
22;0.9999999999999999;65.0;80.0;1.2354166666666666;0.23541666666666672;349.22823143300394;0;1
24;1.25;62.0;80.0;1.4854166666666666;0.2354166666666666;293.66476791740763;0;0
26;1.5;64.0;80.0;1.7354166666666666;0.2354166666666666;329.62755691286986;0;0
28;1.75;60.0;80.0;1.9854166666666666;0.2354166666666666;261.6255653005986;0;0
30;2.0;67.0;80.0;2.4729166666666664;0.47291666666666643;391.9954359817492;0;1
32;2.4999999999999996;72.0;80.0;2.9729166666666664;0.4729166666666669;523.2511306011972;0;0
34;2.9999999999999996;71.0;80.0;3.4729166666666664;0.4729166666666669;493.88330125612424;0;1
36;3.4999999999999996;72.0;80.0;3.9729166666666664;0.4729166666666669;523.2511306011972;0;0
38;3.9999999999999996;74.0;80.0;4.235416666666667;0.23541666666666705;587.3295358348153;0;1
40;4.25;67.0;80.0;4.485416666666667;0.2354166666666666;391.9954359817492;0;0
42;4.5;69.0;80.0;4.735416666666667;0.2354166666666666;440.0;0;0
44;4.75;71.0;80.0;4.985416666666667;0.2354166666666666;493.88330125612424;0;0
46;5.0;72.0;80.0;5.235416666666667;0.2354166666666666;523.2511306011972;0;1
48;5.25;69.0;80.0;5.485416666666667;0.2354166666666666;440.0;0;0
50;5.5;71.0;80.0;5.735416666666667;0.2354166666666666;493.88330125612424;0;0
52;5.75;67.0;80.0;5.985416666666667;0.2354166666666666;391.9954359817492;0;0
54;6.0;74.0;80.0;6.472916666666666;0.47291666666666643;587.3295358348153;0;1
56;6.5;79.0;80.0;6.972916666666666;0.47291666666666643;783.9908719634984;0;0
58;7.0;67.0;80.0;8.185416666666667;1.1854166666666668;391.9954359817492;0;1
60;8.25;79.0;80.0;8.485416666666667;0.2354166666666675;783.9908719634984;1;1
62;8.5;67.0;80.0;8.735416666666667;0.2354166666666675;391.9954359817492;0;0
64;8.75;79.0;80.0;8.985416666666667;0.2354166666666675;783.9908719634984;0;0
66;9.0;79.0;80.0;9.235416666666667;0.2354166666666675;783.9908719634984;0;1
68;9.25;81.0;80.0;9.485416666666667;0.2354166666666675;880.0;0;0
70;9.5;79.0;80.0;9.735416666666667;0.2354166666666675;783.9908719634984;0;0
72;9.75;81.0;80.0;9.985416666666667;0.2354166666666675;880.0;0;0
74;10.0;77.0;80.0;10.235416666666667;0.2354166666666675;698.4564628660079;0;1
76;10.25;77.0;80.0;10.485416666666667;0.2354166666666675;698.4564628660079;0;0
78;10.5;65.0;80.0;10.735416666666667;0.2354166666666675;349.22823143300394;0;0
80;10.75;77.0;80.0;10.985416666666667;0.2354166666666675;698.4564628660079;0;0
82;11.0;77.0;80.0;11.235416666666667;0.2354166666666675;698.4564628660079;0;1
84;11.25;79.0;80.0;11.485416666666667;0.2354166666666675;783.9908719634984;0;0
86;11.5;77.0;80.0;11.735416666666667;0.2354166666666675;698.4564628660079;0;0
88;11.75;79.0;80.0;11.985416666666667;0.2354166666666675;783.9908719634984;0;0
90;12.0;76.0;80.0;12.235416666666667;0.2354166666666675;659.2551138257397;0;1
92;12.25;67.0;80.0;12.485416666666667;0.2354166666666675;391.9954359817492;0;0
94;12.5;72.0;80.0;12.735416666666667;0.2354166666666675;523.2511306011972;0;0
96;12.75;74.0;80.0;12.985416666666667;0.2354166666666675;587.3295358348153;0;0
98;13.0;76.0;80.0;13.235416666666667;0.2354166666666675;659.2551138257397;0;1
100;13.25;67.0;80.0;13.485416666666667;0.2354166666666675;391.9954359817492;0;0
102;13.5;72.0;80.0;13.735416666666667;0.2354166666666675;523.2511306011972;0;0
104;13.75;74.0;80.0;13.985416666666667;0.2354166666666675;587.3295358348153;0;0
106;14.0;76.0;80.0;14.116666666666667;0.11666666666666714;659.2551138257397;0;1
108;14.125;77.0;80.0;14.241666666666667;0.11666666666666714;698.4564628660079;0;0
110;14.25;74.0;80.0;14.366666666666667;0.11666666666666714;587.3295358348153;0;0
112;14.375;76.0;80.0;14.491666666666667;0.11666666666666714;659.2551138257397;0;0
114;14.5;72.0;80.0;14.972916666666666;0.47291666666666643;523.2511306011972;0;0
